im_name,accuracy,psnr,snr
Tsukuba_f_0_0_0.png,88.6,14.17,7.38
Tsukuba_f_0_0_1.png,88.6,14.17,7.38
Tsukuba_f_0_0_10.png,88.6,14.17,7.38
Tsukuba_f_0_0_11.png,88.6,14.17,7.38
Tsukuba_f_0_0_12.png,88.6,14.17,7.38
Tsukuba_f_0_0_13.png,88.6,14.17,7.38
Tsukuba_f_0_0_14.png,88.6,14.17,7.38
Tsukuba_f_0_0_15.png,88.6,14.17,7.38
Tsukuba_f_0_0_16.png,88.6,14.17,7.38
Tsukuba_f_0_0_17.png,88.6,14.17,7.38
Tsukuba_f_0_0_18.png,88.6,14.17,7.38
Tsukuba_f_0_0_2.png,88.6,14.17,7.38
Tsukuba_f_0_0_3.png,88.6,14.17,7.38
Tsukuba_f_0_0_4.png,88.6,14.17,7.38
Tsukuba_f_0_0_5.png,88.6,14.17,7.38
Tsukuba_f_0_0_6.png,88.6,14.17,7.38
Tsukuba_f_0_0_7.png,88.6,14.17,7.38
Tsukuba_f_0_0_8.png,88.6,14.17,7.38
Tsukuba_f_0_0_9.png,88.6,14.17,7.38
Tsukuba_f_0_10_0.png,88.6,14.17,7.38
Tsukuba_f_0_10_1.png,88.6,14.17,7.38
Tsukuba_f_0_10_10.png,88.59,14.17,7.38
Tsukuba_f_0_10_11.png,88.58,14.17,7.38
Tsukuba_f_0_10_12.png,88.6,14.17,7.38
Tsukuba_f_0_10_13.png,88.78,14.2,7.41
Tsukuba_f_0_10_14.png,88.68,14.17,7.38
Tsukuba_f_0_10_15.png,88.99,14.22,7.43
Tsukuba_f_0_10_16.png,87.33,15.82,9.04
Tsukuba_f_0_10_17.png,83.25,12.64,5.85
Tsukuba_f_0_10_18.png,88.62,14.18,7.39
Tsukuba_f_0_10_2.png,88.6,14.17,7.38
Tsukuba_f_0_10_3.png,88.6,14.17,7.38
Tsukuba_f_0_10_4.png,88.6,14.17,7.38
Tsukuba_f_0_10_5.png,88.6,14.17,7.38
Tsukuba_f_0_10_6.png,88.59,14.17,7.38
Tsukuba_f_0_10_7.png,88.59,14.17,7.38
Tsukuba_f_0_10_8.png,88.6,14.17,7.38
Tsukuba_f_0_10_9.png,88.59,14.17,7.38
Tsukuba_f_0_11_0.png,88.6,14.17,7.38
Tsukuba_f_0_11_1.png,88.6,14.17,7.38
Tsukuba_f_0_11_10.png,88.59,14.17,7.38
Tsukuba_f_0_11_11.png,88.58,14.17,7.38
Tsukuba_f_0_11_12.png,88.6,14.17,7.38
Tsukuba_f_0_11_13.png,88.78,14.2,7.41
Tsukuba_f_0_11_14.png,88.68,14.17,7.38
Tsukuba_f_0_11_15.png,88.99,14.22,7.43
Tsukuba_f_0_11_16.png,87.33,15.82,9.04
Tsukuba_f_0_11_17.png,83.25,12.64,5.85
Tsukuba_f_0_11_18.png,88.62,14.18,7.39
Tsukuba_f_0_11_2.png,88.6,14.17,7.38
Tsukuba_f_0_11_3.png,88.6,14.17,7.38
Tsukuba_f_0_11_4.png,88.6,14.17,7.38
Tsukuba_f_0_11_5.png,88.6,14.17,7.38
Tsukuba_f_0_11_6.png,88.59,14.17,7.38
Tsukuba_f_0_11_7.png,88.59,14.17,7.38
Tsukuba_f_0_11_8.png,88.6,14.17,7.38
Tsukuba_f_0_11_9.png,88.58,14.17,7.38
Tsukuba_f_0_12_0.png,88.6,14.17,7.38
Tsukuba_f_0_12_1.png,88.6,14.17,7.38
Tsukuba_f_0_12_10.png,88.59,14.17,7.38
Tsukuba_f_0_12_11.png,88.58,14.17,7.38
Tsukuba_f_0_12_12.png,88.6,14.17,7.38
Tsukuba_f_0_12_13.png,88.78,14.2,7.41
Tsukuba_f_0_12_14.png,88.68,14.17,7.38
Tsukuba_f_0_12_15.png,88.99,14.22,7.43
Tsukuba_f_0_12_16.png,87.33,15.82,9.04
Tsukuba_f_0_12_17.png,83.25,12.64,5.85
Tsukuba_f_0_12_18.png,88.62,14.18,7.39
Tsukuba_f_0_12_2.png,88.6,14.17,7.38
Tsukuba_f_0_12_3.png,88.6,14.17,7.38
Tsukuba_f_0_12_4.png,88.6,14.17,7.38
Tsukuba_f_0_12_5.png,88.6,14.17,7.38
Tsukuba_f_0_12_6.png,88.59,14.17,7.38
Tsukuba_f_0_12_7.png,88.59,14.17,7.38
Tsukuba_f_0_12_8.png,88.6,14.17,7.38
Tsukuba_f_0_12_9.png,88.58,14.17,7.38
Tsukuba_f_0_13_0.png,88.6,14.17,7.38
Tsukuba_f_0_13_1.png,88.6,14.17,7.38
Tsukuba_f_0_13_10.png,88.59,14.17,7.38
Tsukuba_f_0_13_11.png,88.58,14.17,7.38
Tsukuba_f_0_13_12.png,88.6,14.17,7.38
Tsukuba_f_0_13_13.png,88.78,14.2,7.41
Tsukuba_f_0_13_14.png,88.68,14.17,7.38
Tsukuba_f_0_13_15.png,88.99,14.22,7.43
Tsukuba_f_0_13_16.png,87.33,15.82,9.04
Tsukuba_f_0_13_17.png,83.25,12.64,5.85
Tsukuba_f_0_13_18.png,88.62,14.18,7.39
Tsukuba_f_0_13_2.png,88.6,14.17,7.38
Tsukuba_f_0_13_3.png,88.6,14.17,7.38
Tsukuba_f_0_13_4.png,88.6,14.17,7.38
Tsukuba_f_0_13_5.png,88.6,14.17,7.38
Tsukuba_f_0_13_6.png,88.59,14.17,7.38
Tsukuba_f_0_13_7.png,88.59,14.17,7.38
Tsukuba_f_0_13_8.png,88.6,14.17,7.38
Tsukuba_f_0_13_9.png,88.58,14.17,7.38
Tsukuba_f_0_14_0.png,88.6,14.17,7.38
Tsukuba_f_0_14_1.png,88.6,14.17,7.38
Tsukuba_f_0_14_10.png,88.59,14.17,7.38
Tsukuba_f_0_14_11.png,88.58,14.17,7.38
Tsukuba_f_0_14_12.png,88.6,14.17,7.38
Tsukuba_f_0_14_13.png,88.78,14.2,7.41
Tsukuba_f_0_14_14.png,88.68,14.17,7.38
Tsukuba_f_0_14_15.png,88.99,14.22,7.43
Tsukuba_f_0_14_16.png,87.33,15.82,9.04
Tsukuba_f_0_14_17.png,83.25,12.64,5.85
Tsukuba_f_0_14_18.png,88.62,14.18,7.39
Tsukuba_f_0_14_2.png,88.6,14.17,7.38
Tsukuba_f_0_14_3.png,88.6,14.17,7.38
Tsukuba_f_0_14_4.png,88.6,14.17,7.38
Tsukuba_f_0_14_5.png,88.6,14.17,7.38
Tsukuba_f_0_14_6.png,88.59,14.17,7.38
Tsukuba_f_0_14_7.png,88.59,14.17,7.38
Tsukuba_f_0_14_8.png,88.6,14.17,7.38
Tsukuba_f_0_14_9.png,88.58,14.17,7.38
Tsukuba_f_0_15_0.png,88.6,14.17,7.38
Tsukuba_f_0_15_1.png,88.6,14.17,7.38
Tsukuba_f_0_15_10.png,88.59,14.17,7.38
Tsukuba_f_0_15_11.png,88.58,14.17,7.38
Tsukuba_f_0_15_12.png,88.6,14.17,7.38
Tsukuba_f_0_15_13.png,88.78,14.2,7.41
Tsukuba_f_0_15_14.png,88.68,14.17,7.38
Tsukuba_f_0_15_15.png,88.99,14.22,7.43
Tsukuba_f_0_15_16.png,87.33,15.82,9.04
Tsukuba_f_0_15_17.png,83.25,12.64,5.85
Tsukuba_f_0_15_18.png,88.62,14.18,7.39
Tsukuba_f_0_15_2.png,88.6,14.17,7.38
Tsukuba_f_0_15_3.png,88.6,14.17,7.38
Tsukuba_f_0_15_4.png,88.6,14.17,7.38
Tsukuba_f_0_15_5.png,88.6,14.17,7.38
Tsukuba_f_0_15_6.png,88.59,14.17,7.38
Tsukuba_f_0_15_7.png,88.59,14.17,7.38
