im_name,accuracy,psnr,snr
Venus_f_0_0_0.png,95.42,22.67,12.16
Venus_f_0_0_1.png,95.42,22.67,12.16
Venus_f_0_0_10.png,95.42,22.67,12.16
Venus_f_0_0_11.png,95.42,22.67,12.16
Venus_f_0_0_12.png,95.42,22.67,12.16
Venus_f_0_0_13.png,95.42,22.67,12.16
Venus_f_0_0_14.png,95.42,22.67,12.16
Venus_f_0_0_15.png,95.42,22.67,12.16
Venus_f_0_0_16.png,95.42,22.67,12.16
Venus_f_0_0_17.png,95.42,22.67,12.16
Venus_f_0_0_18.png,95.42,22.67,12.16
Venus_f_0_0_2.png,95.42,22.67,12.16
Venus_f_0_0_3.png,95.42,22.67,12.16
Venus_f_0_0_4.png,95.42,22.67,12.16
Venus_f_0_0_5.png,95.42,22.67,12.16
Venus_f_0_0_6.png,95.42,22.67,12.16
Venus_f_0_0_7.png,95.42,22.67,12.16
Venus_f_0_0_8.png,95.42,22.67,12.16
Venus_f_0_0_9.png,95.42,22.67,12.16
Venus_f_0_10_0.png,95.42,22.67,12.16
Venus_f_0_10_1.png,95.42,22.67,12.16
Venus_f_0_10_10.png,95.42,22.67,12.16
Venus_f_0_10_11.png,95.42,22.67,12.16
Venus_f_0_10_12.png,95.42,22.67,12.16
Venus_f_0_10_13.png,95.47,22.67,12.16
Venus_f_0_10_14.png,95.46,22.66,12.15
Venus_f_0_10_15.png,95.74,22.77,12.26
Venus_f_0_10_16.png,77.93,17.58,7.07
Venus_f_0_10_17.png,12.58,13.11,2.6
Venus_f_0_10_18.png,95.42,22.67,12.16
Venus_f_0_10_2.png,95.42,22.67,12.16
Venus_f_0_10_3.png,95.42,22.67,12.16
Venus_f_0_10_4.png,95.42,22.67,12.16
Venus_f_0_10_5.png,95.42,22.67,12.16
Venus_f_0_10_6.png,95.42,22.67,12.16
Venus_f_0_10_7.png,95.42,22.67,12.16
Venus_f_0_10_8.png,95.42,22.67,12.16
Venus_f_0_10_9.png,95.42,22.67,12.16
Venus_f_0_11_0.png,95.42,22.67,12.16
Venus_f_0_11_1.png,95.42,22.67,12.16
Venus_f_0_11_10.png,95.42,22.67,12.16
Venus_f_0_11_11.png,95.42,22.67,12.16
Venus_f_0_11_12.png,95.42,22.67,12.16
Venus_f_0_11_13.png,95.47,22.67,12.16
Venus_f_0_11_14.png,95.46,22.66,12.15
Venus_f_0_11_15.png,95.74,22.77,12.26
Venus_f_0_11_16.png,77.93,17.58,7.07
Venus_f_0_11_17.png,12.58,13.11,2.6
Venus_f_0_11_18.png,95.42,22.67,12.16
Venus_f_0_11_2.png,95.42,22.67,12.16
Venus_f_0_11_3.png,95.42,22.67,12.16
Venus_f_0_11_4.png,95.42,22.67,12.16
Venus_f_0_11_5.png,95.42,22.67,12.16
Venus_f_0_11_6.png,95.42,22.67,12.16
Venus_f_0_11_7.png,95.42,22.67,12.16
Venus_f_0_11_8.png,95.42,22.67,12.16
Venus_f_0_11_9.png,95.42,22.67,12.16
Venus_f_0_12_0.png,95.42,22.67,12.16
Venus_f_0_12_1.png,95.42,22.67,12.16
Venus_f_0_12_10.png,95.42,22.67,12.16
Venus_f_0_12_11.png,95.42,22.67,12.16
Venus_f_0_12_12.png,95.42,22.67,12.16
Venus_f_0_12_13.png,95.47,22.67,12.16
Venus_f_0_12_14.png,95.46,22.66,12.15
Venus_f_0_12_15.png,95.74,22.77,12.26
Venus_f_0_12_16.png,77.93,17.58,7.07
Venus_f_0_12_17.png,12.58,13.11,2.6
Venus_f_0_12_18.png,95.42,22.67,12.16
Venus_f_0_12_2.png,95.42,22.67,12.16
Venus_f_0_12_3.png,95.42,22.67,12.16
Venus_f_0_12_4.png,95.42,22.67,12.16
Venus_f_0_12_5.png,95.42,22.67,12.16
Venus_f_0_12_6.png,95.42,22.67,12.16
Venus_f_0_12_7.png,95.42,22.67,12.16
Venus_f_0_12_8.png,95.42,22.67,12.16
Venus_f_0_12_9.png,95.42,22.67,12.16
Venus_f_0_13_0.png,95.42,22.67,12.16
Venus_f_0_13_1.png,95.42,22.67,12.16
Venus_f_0_13_10.png,95.42,22.67,12.16
Venus_f_0_13_11.png,95.42,22.67,12.16
Venus_f_0_13_12.png,95.42,22.67,12.16
Venus_f_0_13_13.png,95.47,22.67,12.16
Venus_f_0_13_14.png,95.46,22.66,12.15
Venus_f_0_13_15.png,95.74,22.77,12.26
Venus_f_0_13_16.png,77.93,17.58,7.07
Venus_f_0_13_17.png,12.58,13.11,2.6
Venus_f_0_13_18.png,95.42,22.67,12.16
Venus_f_0_13_2.png,95.42,22.67,12.16
Venus_f_0_13_3.png,95.42,22.67,12.16
Venus_f_0_13_4.png,95.42,22.67,12.16
Venus_f_0_13_5.png,95.42,22.67,12.16
Venus_f_0_13_6.png,95.42,22.67,12.16
Venus_f_0_13_7.png,95.42,22.67,12.16
Venus_f_0_13_8.png,95.42,22.67,12.16
Venus_f_0_13_9.png,95.42,22.67,12.16
Venus_f_0_14_0.png,95.42,22.67,12.16
Venus_f_0_14_1.png,95.42,22.67,12.16
Venus_f_0_14_10.png,95.42,22.67,12.16
Venus_f_0_14_11.png,95.42,22.67,12.16
Venus_f_0_14_12.png,95.42,22.67,12.16
Venus_f_0_14_13.png,95.47,22.67,12.16
Venus_f_0_14_14.png,95.46,22.66,12.15
Venus_f_0_14_15.png,95.74,22.77,12.26
Venus_f_0_14_16.png,77.93,17.58,7.07
